,complexity,method callers,size context in package,size context in file,non-fix change removal rate,added of lines of code in package during the past 3 months,percentage of lines of code in file during the past 3 months,percentage of lines of code in package during the past 25 revisions,field type,field is static/final ,catch,class is abstract/interfact/array,file creation revision,file age,method size,methods in package,package size,classes in file,indentation,classes in package,file depth,file size,comment length,comment-code ratio,method depth,method callees,warnings in package,warnings in file,size context for a warning type,warning rank,warning priority,size context in method,warning context in method,defect likelihood for warning pattern,variance of likelihood,defect likelihood for warning type,discretization of defect likelihood,warning context for warning type,fix change removal rate,average lifetime for warning type,warning context in package,warning context in file,warning modifications,warning lifetime by revision,warning lifetime by time,warning open revision,deleted of lines of code in package during the past 3 months,changed of lines of code in package during the past 3 months,total of lines of code in package during the past 3 months,growth of lines of code in package during the past 3 months,percentage of lines of code in package during the past 3 months,added of lines of code in file during the past  25 revisions,changed of lines of code in file during the past 25 revisions,deleted of lines of code in file during the past 25 revisions,growth of lines of code in file during the past 25 revisions,changed of lines of code in file during the past 3 months,total of lines of code in file during the past 25 revisions,added of lines of code in file during the past 3 months,percentage of lines of code in file during the past 25 revisions,growth of lines of code in file during the past 3 months,added of lines of code in package during the past  25 revisions,deleted of lines of code in file during the past 3 months,changed of lines of code in package during the past 25 revisions,deleted of lines of code in package during the past 25 revisions,total of lines of code in file during the past 3 months,growth of lines of code in package during the past 25 revisions,total of lines of code in package during the past 25 revisions,file staleness,latest file modification,file deletion revision,package staleness,latest package modification,method return type,parameter signature,operator,method is static/final/abstract/protected,class,new concrete type,field visibility,class visibility,call name,new type,field access field,method visibility,return type,field access class,field name,developers
ant,4,4,4,4,7,4,4,5,5,4,4,4,5,3,3,5,3,3,3,3,3,3,5,4,4,3,3,4,3,3,3,4,10,10,7,6,6,9,5,5,5,9,3,5,4,4,4,3,3,3,4,5,3,3,4,5,3,3,4,5,3,3,3,3,3,3,5,5,4,3,4,3,4,4,3,3,4,5,4,3,3,4,4,4,3,3,3,3
commons,5,3,3,2,3,2,5,3,3,3,3,2,3,2,3,5,2,4,4,3,4,3,5,5,3,3,3,3,3,4,3,4,10,8,5,4,3,7,6,2,6,11,7,4,2,3,2,3,2,2,4,3,5,4,4,4,4,3,4,2,2,2,3,2,2,2,2,2,4,2,2,3,5,3,4,4,4,3,4,4,7,2,3,4,2,3,3,4
derby,3,3,3,3,5,3,3,4,3,3,3,5,5,4,4,5,3,3,3,3,3,4,4,4,4,3,4,4,7,3,3,3,9,10,6,6,6,9,3,6,6,9,3,6,4,5,3,3,3,4,6,5,4,3,4,5,4,5,5,3,5,3,4,3,3,3,3,5,4,3,5,4,5,3,3,3,3,5,5,3,3,6,3,4,4,4,3,3
jmeter,5,3,3,6,5,4,4,4,6,3,4,4,4,3,4,7,3,3,4,4,3,7,3,5,3,3,3,6,5,3,3,5,11,6,8,6,5,5,5,5,6,9,4,4,4,3,4,3,3,4,3,6,4,3,5,3,5,4,4,4,7,3,3,3,3,4,5,4,3,3,4,3,4,3,3,3,4,5,5,7,3,3,6,4,4,4,4,3
mvn,3,4,3,3,4,5,6,5,5,4,4,3,5,5,7,6,3,4,4,3,4,4,4,4,4,4,3,3,5,4,4,3,11,9,7,5,4,7,4,3,7,10,4,5,5,4,5,3,4,4,5,5,4,3,4,4,4,6,5,5,5,4,3,3,4,4,3,4,5,5,4,4,4,4,7,4,4,6,5,4,5,5,4,4,3,3,4,4
lucence,3,4,5,4,3,5,5,5,5,5,4,6,5,4,5,8,6,6,6,5,4,5,4,5,6,5,5,5,5,4,4,6,10,8,4,5,6,7,4,5,9,8,5,6,5,6,5,4,5,3,4,5,4,5,5,5,5,4,5,4,5,5,3,6,3,3,4,6,5,8,4,3,4,4,4,5,5,5,5,6,5,4,5,3,4,4,4,4
cass,3,4,4,5,5,4,5,4,4,4,4,4,4,4,4,7,3,5,4,3,5,6,5,6,4,5,4,5,7,4,5,4,10,10,4,4,4,6,4,4,6,10,4,4,3,3,4,4,3,3,4,4,6,3,4,3,4,4,5,3,3,5,3,5,5,3,3,6,5,5,5,4,4,4,4,5,5,3,4,5,4,3,5,3,3,3,3,3
phoenix,3,6,3,3,5,4,4,4,4,3,4,4,5,3,5,8,3,6,5,5,4,6,4,7,6,5,3,4,5,4,5,4,10,8,7,6,6,6,3,5,6,10,4,5,5,4,6,7,3,4,5,4,3,4,4,4,4,4,6,3,4,5,3,4,4,3,3,6,5,5,4,3,6,6,4,4,4,4,4,3,4,3,5,4,3,4,3,3
tomcat,5,4,4,3,5,5,8,5,5,3,4,4,4,3,4,7,5,4,4,3,4,5,4,5,4,6,3,4,6,4,4,4,10,10,4,6,5,9,5,4,8,10,4,5,4,4,3,3,6,4,5,4,4,3,4,3,3,5,5,7,4,3,4,3,4,5,3,5,4,3,4,4,5,5,4,4,4,4,4,4,5,4,4,3,3,5,3,4
